"","date","AMEH"
"948","2012-12-12",11
"949","2012-12-13",11
"950","2012-12-14",11
"951","2012-12-17",11
"952","2012-12-18",10
"953","2012-12-19",11.9
"954","2012-12-20",10
"955","2012-12-21",9.9
"956","2012-12-24",9.9
"957","2012-12-26",9.9
"958","2012-12-27",9.9
"959","2012-12-28",9.9
"960","2012-12-31",5
"961","2013-01-02",4.8
"962","2013-01-03",4.7
"963","2013-01-04",4.7
"964","2013-01-07",7.9
"965","2013-01-08",7.9
"966","2013-01-09",7.9
"967","2013-01-10",7.9
"968","2013-01-11",7.9
"969","2013-01-14",7.9
"970","2013-01-15",7.9
"971","2013-01-16",7.9
"972","2013-01-17",7.9
"973","2013-01-18",7.9
"974","2013-01-22",7.9
"975","2013-01-23",7.9
"976","2013-01-24",7.9
"977","2013-01-25",6
"978","2013-01-28",6
"979","2013-01-29",6
"980","2013-01-30",6.3
"981","2013-01-31",6.3
"982","2013-02-01",6.3
"983","2013-02-04",6.3
"984","2013-02-05",6.3
"985","2013-02-06",6.3
"986","2013-02-07",6.5
"987","2013-02-08",6.5
"988","2013-02-11",6.5
"989","2013-02-12",4
"990","2013-02-13",3.6
"991","2013-02-14",3.6
"992","2013-02-15",3.3
"993","2013-02-19",5.4
"994","2013-02-20",6.3
"995","2013-02-21",6.3
"996","2013-02-22",6.3
"997","2013-02-25",6.3
"998","2013-02-26",5.7
"999","2013-02-27",6.3
"1000","2013-02-28",6.3
"1001","2013-03-01",6.3
"1002","2013-03-04",6.3
"1003","2013-03-05",6.3
"1004","2013-03-06",5.5
"1005","2013-03-07",6.3
"1006","2013-03-08",6.3
"1007","2013-03-11",6.3
"1008","2013-03-12",6.3
"1009","2013-03-13",6.3
"1010","2013-03-14",6.3
"1011","2013-03-15",6.3
"1012","2013-03-18",5
"1013","2013-03-19",6.2
"1014","2013-03-20",6.2
"1015","2013-03-21",6.2
"1016","2013-03-22",5.5
"1017","2013-03-25",5.5
"1018","2013-03-26",4.7
"1019","2013-03-27",4.7
"1020","2013-03-28",4.7
