"","date","EIGR"
"950","2017-11-03",11.4
"951","2017-11-06",11.3
"952","2017-11-07",10.6
"953","2017-11-08",10.6
"954","2017-11-09",11
"955","2017-11-10",10.9
"956","2017-11-13",10.85
"957","2017-11-14",10.5
"958","2017-11-15",10.7
"959","2017-11-16",10.9
"960","2017-11-17",10.85
"961","2017-11-20",10.7
"962","2017-11-21",11.05
"963","2017-11-22",11.05
"964","2017-11-24",10.95
"965","2017-11-27",11.45
"966","2017-11-28",11.8
"967","2017-11-29",11.55
"968","2017-11-30",11.65
"969","2017-12-01",11.45
"970","2017-12-04",11.8
"971","2017-12-05",11.8
"972","2017-12-06",11.85
"973","2017-12-07",12.7
"974","2017-12-08",12.95
"975","2017-12-11",12.5
"976","2017-12-12",12.35
"977","2017-12-13",12.35
