"","date","HDS"
"905","2017-01-30",42.23
"906","2017-01-31",42.299999
"907","2017-02-01",42.23
"908","2017-02-02",42.130001
"909","2017-02-03",42.639999
"910","2017-02-06",42.619999
"911","2017-02-07",43.5
"912","2017-02-08",43.029999
"913","2017-02-09",43.450001
"914","2017-02-10",44.240002
"915","2017-02-13",43.509998
"916","2017-02-14",43.139999
"917","2017-02-15",43.080002
"918","2017-02-16",43.169998
"919","2017-02-17",43.25
"920","2017-02-21",43.779999
"921","2017-02-22",43.919998
"922","2017-02-23",42.330002
"923","2017-02-24",42.57
"924","2017-02-27",43.369999
"925","2017-02-28",43
"926","2017-03-01",43.439999
"927","2017-03-02",42.700001
"928","2017-03-03",43.279999
"929","2017-03-06",43.240002
"930","2017-03-07",42.669998
"931","2017-03-08",42.740002
"932","2017-03-09",41.919998
"933","2017-03-10",41.990002
"934","2017-03-13",42.68
"935","2017-03-14",41.02
"936","2017-03-15",41.810001
"937","2017-03-16",41.389999
"938","2017-03-17",41.779999
"939","2017-03-20",41.139999
"940","2017-03-21",40.389999
"941","2017-03-22",40.330002
"942","2017-03-23",40.439999
"943","2017-03-24",40.330002
"944","2017-03-27",40.119999
"945","2017-03-28",40.560001
"946","2017-03-29",40.259998
"947","2017-03-30",41.099998
"948","2017-03-31",41.130001
"949","2017-04-03",40.529999
"950","2017-04-04",40.27
"951","2017-04-05",40.34
"952","2017-04-06",40.310001
"953","2017-04-07",40.040001
"954","2017-04-10",40.91
"955","2017-04-11",40.77
"956","2017-04-12",40.150002
"957","2017-04-13",39.549999
